"id","login_uuid","username","password","email","register_date","last_login","update_date","section","exp_section","create_date"
1,a4ed8386-d979-11eb-b8bc-0242ac130003,lnwza007,"1",lnwza007@hotmail.com,"2023-04-06 15:50:00 +00:00","2023-04-06 16:53:00 +00:00",,"",,
2,de47e482-d979-11eb-b8bc-0242ac130003,jackson,d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35,jackson@hotmail.com,"2023-05-06 15:50:00 +00:00","2023-05-06 16:53:00 +00:00",,"",,
3,e437b066-d979-11eb-b8bc-0242ac130003,cowboy,"4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce",cowboy@hotmail.com,"2023-06-06 15:50:00 +00:00","2023-06-06 16:53:00 +00:00",,"",,
4,"02032a9e-d97a-11eb-b8bc-0242ac130003",ironman,"4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a",ironman@hotmail.com,"2021-01-07 15:50:00 +00:00","2021-01-07 16:53:00 +00:00",,"",,
5,"0e858636-d97a-11eb-b8bc-0242ac130003",superman,ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d,superman@hotmail.com,"2021-02-07 15:50:00 +00:00","2021-02-07 16:53:00 +00:00",,"",,
6,"8cdd72cb-bf03-476b-a949-8ebf637d11e4",gameza,"40fcb593ca3786c913672529406e512f05e3290f65a29563d95b37aae9d22e6c",batman@hotmail.com,"2021-03-07 15:50:00 +00:00","2021-03-07 16:53:00 +00:00",,"",,
7,"515d8b98-d97a-11eb-b8bc-0242ac130003",spiderman,"7902699be42c8a8e46fbbb4501726517e86b22c56a189f7625a6da49081b2451",spiderman@hotmail.com,"2021-04-07 15:50:00 +00:00","2021-04-07 16:53:00 +00:00",,"",,
8,"5b1e6422-d97a-11eb-b8bc-0242ac130003",captain,"2c624232cdd221771294dfbb310aca000a0df6ac8b66b696d90ef06fdefb64a3",captain@hotmail.com,"2021-05-07 15:50:00 +00:00","2021-05-07 16:53:00 +00:00",,"",,
9,"6126ce2c-d97a-11eb-b8bc-0242ac130003",drstrange,"19581e27de7ced00ff1ce50b2047e7a567c76b1cbaebabe5ef03f7c3017bb5b7",drstrange@hotmail.com,"2021-06-07 15:50:00 +00:00","2021-06-07 16:53:00 +00:00",,"",,
10,"6f3bd534-d97a-11eb-b8bc-0242ac130003",theflash,"4a44dc15364204a80fe80e9039455cc1608281820fe2b24f1e5233ade6af1dd5",theflash@hotmail.com,"2021-07-07 15:50:00 +00:00","2021-07-07 16:53:00 +00:00",,"",,
11,b625c7c7-62a9-4e86-9cb6-edb376ae1372,pond,dd87788afeadee3c09694d7d2433cbb10dff6031a25881326880dc3b23bf078a,po_nd02@hotmail.com,"2021-07-07 15:50:00 +00:00","2021-07-04 14:24:48.271934 +07:00",,a788733d-dfd5-4bc1-8597-eebf556a0531,"2021-07-04 15:24:48.271934 +07:00",
51,e05f8145-5f6a-4d2c-9440-a52fc98864ca,testing,"0232296c53ef9d84b048a4a0ba0b07d551fd75cc2709ac1649f2247fd13ccb52",fixedRegister@hotmail.com,"2021-07-02 23:05:00 +00:00","2021-07-04 16:36:12.300353 +07:00",,"32b7ecbc-181d-4608-859d-a0d6991a7321","2021-07-04 17:36:12.300353 +07:00",
52,"5a1282d7-a806-4613-9246-e13ceba5d69f",demo,"8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92",demo@hotmail.com,"2021-07-02 23:50:55 +00:00","0001-01-01 00:00:00 +00:00",,"",,
54,ac6704eb-9222-448d-9f32-c213b3656174,youtube,"8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92",youtube@hotmail.com,"2021-07-03 14:30:55 +00:00","0001-01-01 00:00:00 +00:00","2021-07-03 14:30:55 +00:00",,,"2021-07-03 14:30:55 +00:00"
55,"58680a44-abaa-4ec8-a540-dbf21d9f026b",facebook,"8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92",facebook@hotmail.com,"2021-07-03 14:41:48 +00:00","0001-01-01 00:00:00 +00:00","2021-07-03 14:41:48 +00:00",,,"2021-07-03 14:41:48 +00:00"
57,"62c14d91-527f-4b61-90f4-614128bdb033",ragnarok,"8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92",ragnarok@hotmail.com,"2021-07-03 18:17:44 +00:00","0001-01-01 00:00:00 +00:00","2021-07-03 18:17:44 +00:00",,,"2021-07-03 18:17:44 +00:00"
